,,,,,,,,,,,,,,,,
??????? 4.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"??????????? ???????, ??????????? ? ????????? ?????????, ???????????? ?? ??????????? ? ?????? ?????????? ??????",,,,,,,,,,,,,,,,
"(?? ?????? ??????????? ?????? ?? ????? ? ?????????), ???-?? ???????",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2008?.,2009?.,2010?.,2011?.,2012?.,2013?.,2014?.,2015?.,2016?.,2017?.,2018?.,2019,,,,
?????????? ?? ??????????? ? ?????? ?????????? ??????,256190,306478,268202,243407,211828,190631,170864,165208,142929,166 993,154 432,159 174,,,,
????? ?????? (???????? ???????),87299,84651,87218,84980,76865,75642,73412,70101,55758,88 574,84 228,90 936,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
??????? 4.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
??????????????? ??????? ???????? ?????? ????????? ????????? ?? ??????????? ??????? ?????,,,,,,,,,,,,,,,,
"(?? ?????? ??????????? ?????? ?? ????? ? ?????????), ???-?? ???????",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2008?.,2009?.,2010?.,2011?.,2012?.,2013?.,2014?.,2015?.,2016?.,2017?.,2018?.,2019,,,,
"??????????? ???????, ??????????????? ? ???? ???? - ?????",24179,17051,9688,7149,6286,6149,5938,5440,5390,10248,10 604,10 320,,,,
? ??? ????? ??????????? ? ????????? ?????????,8806,5185,4869,4080,3708,4271,3887,3839,3743,7700,8 184,7 579,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
??????? 4.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"???????? ? ?????????????? ???????? ?????? ????????? ????????? ??????????????? ?????? ?? ??????????? ???????????????? ?????????? ?????????, ??????????? ? ????????? ?????????",,,,,,,,,,,,,,,,
"(?? ?????? ??????????? ?????? ?? ????? ? ?????????), ???-?? ???????",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2008?.,2009?.,2010?.,2011?.,2012?.,2013?.,2014?.,2015?.,2016?.,2017?.,2018?.,2019,,,,
????????,166999,158404,160486,155558,137871,123869,111272,95966,99986,124966,116 216,129 224,,,,
,,,,,,,,,,,,,,,,
